corp,year,operating_income,revenue,net_income,outstanding_shares,total_liabilities,total_assets,cash_flow_per_share,sales_per_share,current_assets,current_liabilities,inventory,net_working_capital,non_current_assets,non_current_liabilities
DB,2022,23608623380.0,401345502158.0,5713047702.0,402347866,129333891166.0,414317384772.0,67.36698254042685,997.5087134126866,114707456228.0,110484852478.0,5729620923.0,4222603750.0,299609928544.0,18849038688.0
DB하이텍,2018,112993142556.0,669279136472.0,86828767655.0,89022334,508142308509.0,1066533839753.0,2025.8234772860483,7518.103675780956,383378936944.0,156796450097.0,42891649316.0,226582486847.0,683154902809.0,351345858412.0
DB하이텍,2019,181292187959.0,807416422918.0,104637012339.0,89022334,444239079806.0,1088889809571.0,1809.4150526765563,9069.818624593689,426263421167.0,219715556191.0,51837841227.0,206547864976.0,662626388404.0,224523523615.0
DB하이텍,2020,239335181312.0,935919766484.0,166025591077.0,89022334,383996684604.0,1178581197181.0,3482.077090609644,10513.314181180645,459208127449.0,261704001422.0,51848769524.0,197504126027.0,719373069732.0,122292683182.0
DB하이텍,2021,399106778303.0,1214682040178.0,316891852008.0,89022334,443888189808.0,1549937895854.0,4416.072878857569,13644.688760665385,815161899425.0,335336853432.0,66017137668.0,479825045993.0,734775996429.0,108551336376.0
DB하이텍,2022,768746685740.0,1675287533666.0,558836662217.0,89022334,484416396415.0,2122700474808.0,8200.901962635578,18818.732989701213,1327724119744.0,404353962296.0,73768604576.0,923370157448.0,794976355064.0,80062434119.0
DL,2018,845358145715.0,10984485292300.0,678088773944.0,77200000,6783472629934.0,12833716731566.0,14307.276615103627,142286.0789158031,6366648560495.0,4530043097731.0,998864024596.0,1836605462764.0,6467068171071.0,2253429532203.0
DL,2019,135985787217.0,1660433291503.0,710307661773.0,77200000,6708517368302.0,13445224177772.0,12334.295986437824,21508.20325781088,6739682949664.0,4271441266973.0,1120088813774.0,2468241682691.0,6705541228108.0,2437076101329.0
DL,2020,119049765679.0,1566148811684.0,572657162958.0,77200000,10690535919843.0,13901859840255.0,17696.69955404145,20286.901705751294,9327817394762.0,8367655725684.0,145507032654.0,960161669078.0,4574042445493.0,2322880194159.0
DL,2021,221893397682.0,2385420753496.0,875038328844.0,45283998,3792740553888.0,8322962606033.0,6642.04032247771,52676.90263337614,2512731845125.0,1460930581946.0,329716748446.0,1051801263179.0,5810230760908.0,2331809971942.0
DL,2022,280713485110.0,5170810757434.0,88672477154.0,45283998,7400026570103.0,12151037166011.0,5032.927046834513,114186.26856740874,3002744413405.0,2323118787433.0,1155096117797.0,679625625972.0,9148292752606.0,5076907782670.0
DL이앤씨,2021,957257982914.0,7631650898582.0,635835953637.0,42945246,4204543036708.0,8701690202744.0,13515.557037419228,177706.5358662051,5354345946301.0,3136739509756.0,939555743852.0,2217606436545.0,3347344256443.0,1067803526952.0
DL이앤씨,2022,496965230080.0,7496823679468.0,431557865893.0,85838918,4282240934857.0,8974717444285.0,1770.3458367916521,87335.95266739033,5403768957903.0,3210693538872.0,852774611744.0,2193075419031.0,3570948486382.0,1071547395985.0
DN오토모티브,2018,71691356957.0,908521022197.0,58472495803.0,19988010,307231005013.0,870759625705.0,3709.9746889760413,45453.30036341787,454682427149.0,284270736447.0,133818790873.0,170411690702.0,416077198556.0,22960268566.0
DN오토모티브,2019,78115239042.0,903300771014.0,68290129655.0,19988010,285645034477.0,911746199157.0,4530.110889428212,45192.131233374406,431881632793.0,268372943940.0,136947873948.0,163508688853.0,479864566364.0,17272090537.0
DN오토모티브,2020,69581437126.0,803096377188.0,48427397900.0,19988010,307077824011.0,961755008032.0,5280.242673832963,40178.906113615114,476131998056.0,290885879628.0,131914943762.0,185246118428.0,485623009976.0,16191944383.0
DN오토모티브,2021,89645343410.0,930752730400.0,85081181274.0,19988010,770989552036.0,1484962432663.0,2046.0384292383285,46565.55256876497,1077073232833.0,558066306879.0,184422720747.0,519006925954.0,407889199830.0,212923245157.0
DN오토모티브,2022,421528485860.0,3156376223570.0,184899013321.0,19988010,3460082191971.0,4591590751746.0,7652.205872770726,157913.48030994582,1775650459528.0,1358459213708.0,659977419130.0,417191245820.0,2815940292218.0,2101622978263.0
