표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,시장구분,증권구분,소속부,주식종류,액면가,상장주식수
"KR7009180001","009180","한솔로지스틱스보통주","한솔로지스틱스","Hansol Logistics","1989/11/13","KOSPI","주권",,"보통주","500","27477425"
"KR7213500002","213500","한솔제지보통주","한솔제지","Hansol Paper Co., Ltd.","2015/01/26","KOSPI","주권",,"보통주","5000","23800576"
"KR7014680003","014680","한솔케미칼보통주","한솔케미칼","HansolChemical","1989/05/20","KOSPI","주권",,"보통주","5000","11335195"
"KR7004710000","004710","한솔테크닉스보통주","한솔테크닉스","HansolTechnics","1988/07/06","KOSPI","주권",,"보통주","5000","32109878"
"KR7004150009","004150","한솔홀딩스보통주","한솔홀딩스","Hansol Holdings","1972/05/17","KOSPI","주권",,"보통주","1000","42008577"
"KR7025750001","025750","한솔홈데코보통주","한솔홈데코","HansolHomeDeco","2003/11/04","KOSPI","주권",,"보통주","1000","80565149"
"KR7004960001","004960","한신공영보통주","한신공영","HanshinConstruction","1976/07/07","KOSPI","주권",,"보통주","5000","11570702"
"KR7011700002","011700","한신기계공업보통주","한신기계","HanshinMachinery","1987/07/24","KOSPI","주권",,"보통주","500","32446151"
"KR7001751007","001755","한양증권1우선주","한양증권우","HanyangSecurities(1P)","1989/10/24","KOSPI","주권",,"구형우선주","5000","525000"
"KR7001750009","001750","한양증권보통주","한양증권","HanyangSecurities","1988/03/04","KOSPI","주권",,"보통주","5000","12728534"
"KR7018880005","018880","한온시스템보통주","한온시스템","Hanon Systems","1996/07/31","KOSPI","주권",,"보통주","100","533800000"
"KR7009420001","009420","한올바이오파마보통주","한올바이오파마","HANALL BIOPHARMA CO.,LTD","1989/12/18","KOSPI","주권",,"보통주","500","52240638"
"KR7014130009","014130","한익스프레스보통주","한익스프레스","HanExpress","1989/07/25","KOSPI","주권",,"보통주","500","12000000"
"KR7300720000","300720","한일시멘트보통주","한일시멘트","HANILCEMENT","2018/08/06","KOSPI","주권",,"보통주","500","69261540"
"KR7002220002","002220","한일철강보통주","한일철강","HanilIron&Steel","1988/10/07","KOSPI","주권",,"보통주","500","26697460"
"KR7006390009","006390","한일현대시멘트보통주","한일현대시멘트","HANIL HYUNDAI CEMENT","1975/12/26","KOSPI","주권",,"보통주","5000","19327672"
"KR7003300001","003300","한일홀딩스보통주","한일홀딩스","HANILHOLDINGS","1969/11/20","KOSPI","주권",,"보통주","1000","30832884"
"KR7051600005","051600","한전KPS 보통주","한전KPS","KEPCO Plant Service & Engineering","2007/12/14","KOSPI","주권",,"보통주","200","45000000"
"KR7130660004","130660","한전산업개발보통주","한전산업","Korea Electric Power Industrial Development","2010/12/16","KOSPI","주권",,"보통주","500","32600000"
"KR7002320000","002320","한진보통주","한진","HanjinTransportation","1974/08/12","KOSPI","주권",,"보통주","5000","14947628"
"KR7003480001","003480","한진중공업홀딩스보통주","한진중공업홀딩스","HanjinHeavyInd&ConstHoldings","1956/03/03","KOSPI","주권",,"보통주","5000","29529812"
"KR718064K016","18064K","한진칼1우선주","한진칼우","HANJINKAL(1P)","2013/09/16","KOSPI","주권",,"종류주권","2500","536766"
"KR7180640005","180640","한진칼보통주","한진칼","HANJINKAL","2013/09/16","KOSPI","주권",,"보통주","2500","66761796"
"KR7005110002","005110","한창보통주","한창","Hanchang","1976/06/01","KOSPI","주권",,"보통주","500","79395668"
"KR7009460007","009460","한창제지보통주","한창제지","HanchangPaper","1987/12/23","KOSPI","주권",,"보통주","500","59667486"
"KR7372910000","372910","한컴라이프케어보통주","한컴라이프케어","Hancom Lifecare","2021/08/17","KOSPI","주권",,"보통주","200","27674406"
"KR7000881003","000885","한화1우선주","한화우","Hanwha(1P)","1990/01/22","KOSPI","주권",,"구형우선주","5000","479294"
"KR700088K015","00088K","한화3우선주(신형)","한화3우B","HANWHA(3PB)","2016/10/19","KOSPI","주권",,"신형우선주","5000","22472000"
"KR745226K018","45226K","한화갤러리아1우선주","한화갤러리아우","HANWHA GALLERIA(1P)","2023/03/31","KOSPI","주권",,"종류주권","500","2904470"
"KR7452260003","452260","한화갤러리아보통주","한화갤러리아","HANWHA GALLERIA","2023/03/31","KOSPI","주권",,"보통주","500","193859610"
"KR7451800007","451800","한화리츠보통주","한화리츠","Hanwha REIT","2023/03/27","KOSPI","부동산투자회사",,"보통주","500","70600000"
"KR7000880005","000880","한화보통주","한화","Hanwha","1976/06/24","KOSPI","주권",,"보통주","5000","74958735"
"KR7088350004","088350","한화생명보험보통주","한화생명","HANWHA LIFE INSURANCE","2010/03/17","KOSPI","주권",,"보통주","5000","868530000"
"KR7000370007","000370","한화손해보험보통주","한화손해보험","Hanwha General Insurance Co.,Ltd.","1975/06/30","KOSPI","주권",,"보통주","5000","116738915"
"KR7009831009","009835","한화솔루션1우선주","한화솔루션우","HANWHA SOLUTIONS(1P)","1989/11/21","KOSPI","주권",,"구형우선주","5000","2575349"
"KR7009830001","009830","한화솔루션보통주","한화솔루션","HANWHA SOLUTIONS","1974/06/19","KOSPI","주권",,"보통주","5000","171892536"
"KR7272210006","272210","한화시스템보통주","한화시스템","HANWHA SYSTEMS","2019/11/13","KOSPI","주권",,"보통주","5000","188919389"
"KR7012450003","012450","한화에어로스페이스보통주","한화에어로스페이스","HANWHA AEROSPACE","1987/05/27","KOSPI","주권",,"보통주","5000","50630000"
"KR7042660001","042660","한화오션보통주","한화오션","Hanwha Ocean","2001/02/02","KOSPI","주권",,"보통주","5000","216873399"
"KR7003531001","003535","한화투자증권1우선주","한화투자증권우","HANWHA INVESTMENT & SECURITIES(1P)","1989/05/06","KOSPI","주권",,"구형우선주","5000","4800000"
"KR7003530003","003530","한화투자증권보통주","한화투자증권","HANWHA INVESTMENT & SECURITIES","1986/11/25","KOSPI","주권",,"보통주","5000","214547775"
"KR7195870001","195870","해성디에스보통주","해성디에스","HAESUNG DS","2016/06/24","KOSPI","주권",,"보통주","5000","17000000"
"KR7101530004","101530","해태제과식품주식회사","해태제과식품","Haitai Confectionery and Foods Co., Ltd.","2016/05/11","KOSPI","주권",,"보통주","500","29116822"
"KR7143210003","143210","핸즈코퍼레이션보통주","핸즈코퍼레이션","HANDS CORPORATION","2016/12/02","KOSPI","주권",,"보통주","500","21863268"
"KR7000721001","000725","현대건설1우선주","현대건설우","HyundaiEngineering&Construction(1P)","1989/09/21","KOSPI","주권",,"구형우선주","5000","1054693"
"KR7000720003","000720","현대건설보통주","현대건설","HyundaiEngineering&Construction","1984/12/22","KOSPI","주권",,"보통주","5000","111355765"
"KR7453340002","453340","현대그린푸드보통주","현대그린푸드","HYUNDAI GREEN FOOD","2023/04/10","KOSPI","주권",,"보통주","500","33880914"
