corp,stock_code,sector,year,revenue,cost_of_sales,gross_profit,operating_income,net_income,ebit,ebitda,total_equity,total_assets,total_liabilities,current_assets,current_liabilities,non_current_liabilities,short_borrowing,long_borrowing,cash_and_equivalents,retained_earnings,tangible_assets,intangible_assets,accounts_receivable,inventory,accounts_payable,outstanding_shares,cash_flow_operating,selling_general_administrative_expenses,cash_flow_investing,cash_flow_financing,long_term_assets,interest,tax,stock_price,market_capitalization,borrowings,net_liabilities,cash_flow_per_share
성문전자,014910,전기전자,2022,49973898725.0,41081807226.0,8892091499.0,2467546877.0,2083804416.0,2703228431.0,2703228431.0,32073699343.0,57241315662.0,25167616319.0,38264060991.0,23919722900.0,1247893419.0,5290948345.0,500000000.0,6762357603.0,14328267530.0,13728840853.0,448670500.0,12815698898.0,9935873717.0,5192216484.0,19486857,1058421871.0,6424544622.0,-3052653793.0,1507308123.0,18977254671.0,2155124769.0,653280468.0,1550.0,30204628350.0,5790948345.0,18405258716.0,54.31465274261519
성보화학,003080,화학,2018,49517680999.0,36073827284.0,13443853715.0,293192887.0,6134917258.0,7441038399.0,7441038399.0,153688463010.0,183365494799.0,29677031789.0,102396293322.0,14340346808.0,15336684981.0,0.0,0.0,30874478105.0,97772797881.0,41755010371.0,143929419.0,2896774268.0,40871142256.0,11415709810.0,20020000,8218157941.0,13150660828.0,7163243980.0,-12293269670.0,80969201477.0,224569102.0,568470425.0,5720.0,114514400000.0,0.0,-1197446316.0,410.4973996503497
성보화학,003080,화학,2019,41863997583.0,33396252962.0,8467744621.0,-4353008993.0,-2868490567.0,-4015707190.0,-4015707190.0,146628732487.0,172441359723.0,25812627236.0,94100691517.0,16565434108.0,9247193128.0,0.0,0.0,22696231741.0,90737685134.0,42076193049.0,132593812.0,1202437276.0,42664441910.0,9148184397.0,20020000,-3699046995.0,12820753614.0,361161405.0,-4840360774.0,78340668206.0,455119586.0,1280489340.0,4460.0,89289200000.0,0.0,3116395495.0,-184.76758216783216
성보화학,003080,화학,2020,51733628517.0,42155628780.0,9577999737.0,-3712416585.0,-6003951813.0,-5126434808.0,-5126434808.0,136676940637.0,159209819595.0,22532878958.0,82771649280.0,12981735982.0,9551142976.0,0.0,0.0,20825481701.0,82067100766.0,42629154251.0,184616229.0,1450864782.0,40761419525.0,5771953994.0,20020000,-402529451.0,13290416322.0,3080979825.0,-4549200414.0,76438170315.0,651765189.0,1523022987.0,4460.0,89289200000.0,0.0,1707397257.0,-20.106366183816185
성보화학,003080,화학,2021,57675736223.0,43167103226.0,14508632997.0,1038402940.0,1280616310.0,1794597045.0,1794597045.0,135732039091.0,172156874269.0,36424835178.0,90108115517.0,26951186263.0,9473648915.0,0.0,0.0,20153502004.0,80800974474.0,42317258126.0,179600624.0,1871010157.0,45250040169.0,18311262254.0,20020000,11298206370.0,13470230057.0,-10112349950.0,-1857836117.0,82048758752.0,482454585.0,1965845380.0,3980.0,79679600000.0,0.0,16271333174.0,564.3459725274726
성보화학,003080,화학,2022,66379257981.0,48472380344.0,17906877637.0,1904947045.0,3936366206.0,2530076201.0,2530076201.0,137402075241.0,170785287337.0,33383212096.0,87306335639.0,24401347807.0,8981864289.0,0.0,0.0,19590166603.0,82467713349.0,41356537396.0,162069346.0,3392187470.0,49787192324.0,17485336848.0,20020000,-3657304036.0,16001930592.0,5979539228.0,-2885570593.0,83478951698.0,792208471.0,1530517061.0,3275.0,65565500000.0,0.0,13793045493.0,-182.68251928071928
성신양회,004980,비금속광물,2018,688070395547.0,540433100159.0,147637295388.0,29790317316.0,16608307233.0,19960713108.0,19960713108.0,386877313071.0,1061390656985.0,674513343914.0,282067258352.0,496989257121.0,177524086793.0,312675636508.0,32969791378.0,1457356861.0,230017451446.0,638871789608.0,19098401087.0,175088528965.0,58428624352.0,79042013940.0,24008482,20324702888.0,37593304638.0,-54083936950.0,28487980878.0,779323398633.0,14159727665.0,10338382234.0,11900.0,285700935800.0,345645427886.0,673055987053.0,846.5634307075308
성신양회,004980,비금속광물,2019,707435741353.0,573249074982.0,134186666371.0,20762748750.0,17377898352.0,17852205181.0,17852205181.0,400262266934.0,1029404716227.0,629142449293.0,256776427644.0,438670284575.0,190472164718.0,292570541793.0,33549846686.0,11700548596.0,223838088059.0,630433387366.0,17178100261.0,157423191085.0,56368500662.0,76509652419.0,24516073,59731179805.0,43081574292.0,-23570149601.0,-25926784453.0,772628288583.0,14468310062.0,403961830.0,6980.0,171122189540.0,326120388479.0,617441900697.0,2436.408955259678
성신양회,004980,비금속광물,2020,722305595863.0,588086911739.0,134218684124.0,21195353796.0,10140408620.0,20005971316.0,20005971316.0,407418070508.0,1090267313338.0,682849242830.0,282756593030.0,472710182263.0,210139060567.0,313727242958.0,57889203757.0,31667964577.0,230254280458.0,686898791347.0,16175965763.0,161896352057.0,52818042560.0,71936647087.0,24516073,38213963164.0,55624552012.0,-30192520244.0,12120350671.0,807510720308.0,12975743762.0,-944171134.0,7320.0,179457654360.0,371616446715.0,651181278253.0,1558.731007368105
성신양회,004980,비금속광물,2021,833543563842.0,686406760427.0,147136803415.0,30023204984.0,6509058513.0,24075868009.0,24075868009.0,414005693494.0,1121595052711.0,707589359217.0,311581945499.0,472584143826.0,235005215391.0,319167249085.0,90003639757.0,51307987828.0,235725024053.0,681625229014.0,18300863789.0,169793268818.0,58499516240.0,84560269609.0,24516073,26854510599.0,52683425140.0,-23768224742.0,16416483857.0,810013107212.0,12587781701.0,21748072831.0,16550.0,405741008150.0,409170888842.0,656281371389.0,1095.383856908894
