corp,stock_code,sector,count,rating,paywellfare,worklifebal,culture,opportunity,manager,recommend,ceo,potential
가온전선,000500,전기전자,183,3.24,2.9,3.58,2.94,2.83,2.61,1.75,1.78,1.57
강남제비스코,000860,화학,353,2.8,2.57,3.2,2.4,2.7,2.1,1.12,1.09,0.94
강원랜드,035250,서비스업,519,3.6,3.91,3.63,2.65,2.85,2.51,2.04,1.92,1.8
경농,002100,화학,275,2.84,2.73,2.7,2.36,2.81,2.39,1.27,1.36,1.12
경동나비엔,009450,전기전자,1179,2.7,2.9,2.35,2.4,2.7,2.3,1.61,1.69,1.63
경동도시가스,267290,전기가스업,48,4.46,4.38,4.69,4.04,3.54,3.76,3.04,2.9,2.79
경동인베스트,012320,기타금융,4,4.25,4.25,4.5,3.75,4,3.75,2.5,2.5,2.25
경방,000050,유통업,119,2.26,1.9,2.69,2.34,2.4,1.9,0.92,0.99,0.92
경인양행,012610,화학,354,2.66,2.49,2.91,2.49,2.59,2.39,1.15,1.26,1.08
계양전기,012200,기계,412,2.57,3.5,2.23,1.97,2.4,1.9,1,0.98,0.9
고려아연,010130,철강금속,537,3.2,3.13,3.06,2.54,3.16,2.7,2.05,2.07,2.04
고려제강,002240,철강금속,222,2.42,2.22,2.64,2.33,2.44,1.88,0.64,0.67,0.52
광동제약,009290,의약품,627,3.2,3.6,3.47,2.7,2.83,2.63,1.52,1.6,1.29
광명전기,017040,전기전자,64,2.46,2.09,2.76,2.32,2.97,1.97,0.54,0.46,0.31
광전자,017900,전기전자,287,2.38,1.85,3.04,2.4,2.08,1.77,0.48,0.53,0.39
교촌에프앤비,339770,유통업,320,2.99,3.36,3.32,2.46,2.59,2.01,1.56,1.55,1.48
국도화학,007690,화학,743,2.48,2.78,2.67,2.14,2.5,1.86,1.2,1.22,1.18
국동,005320,유통업,354,3.91,4.02,4.07,3.44,3.55,3.14,0.98,0.78,0.42
국보,001140,운수창고업,433,2.2,2.6,1.4,1.7,2.6,1.9,0.16,0.29,0.26
국제약품,002720,의약품,212,2.91,3.1,3.34,2.41,2.64,2.2,1.34,1.35,1.19
극동유화,014530,화학,38,3.63,3.73,3.98,2.92,3,3.04,2.05,2.05,1.7
금강공업,014280,철강금속,193,2.74,2.59,2.89,2.5,2.69,2.23,1.17,1.21,1.07
금양,001570,화학,115,2.68,2.73,2.31,2.23,2.71,2.32,0.57,0.7,0.47
금호건설,002990,건설업,447,3.05,2.65,2.8,3,3,2.3,1.8,1.78,1.7
금호에이치티,214330,운수장비,252,2.46,2.1,2.21,2.36,2.44,1.92,0.63,0.65,0.58
금호전기,001210,전기전자,146,2.44,1.92,3.12,2.5,2.04,1.94,0.47,0.57,0.35
금호타이어,073240,화학,1154,2.72,2.29,3.28,2.58,2.68,1.88,1.26,1.24,1.15
깨끗한나라,004540,종이목재,435,2.33,2.46,2.66,2.4,2.2,1.9,0.96,1,0.9
남광토건,001260,건설업,116,2.28,1.88,2.38,2.13,2.4,1.78,1.15,1.14,1.12
남선알미늄,008350,철강금속,113,2.84,2.65,3.53,2.76,2.72,2.15,1.52,1.56,1.42
남성,004270,유통업,112,2.3,2.2,2.2,2.2,2,1.8,0.15,0.16,0.11
남양유업,003920,음식료품,777,2.5,2.93,2.39,2.28,2.54,1.71,0.73,0.71,0.64
남해화학,025860,화학,159,3.64,3.6,3.8,3.2,3.14,2.54,2.54,2.5,2.37
넥센,005720,화학,527,2.69,2.89,2.8,2.31,2.6,2.18,0.61,0.65,0.54
넥센타이어,002350,화학,821,2.7,2.73,3.02,2.3,2.51,2.07,1.37,1.39,1.32
넷마블,251270,서비스업,2019,3.23,3.1,2.95,3.2,3.03,2.65,1.28,1.23,1.12
노루페인트,090350,화학,502,2.77,3.26,2.51,2.17,2.51,1.88,1.35,1.31,1.18
노루홀딩스,000320,기타금융,15,1.9,2.6,2.4,1.7,1.9,1.5,0.13,0.14,0.07
녹십자,006280,의약품,1745,3.05,2.5,3.5,2.8,2.9,2.44,1.81,1.81,1.69
녹십자홀딩스,005250,서비스업,101,3.3,2.88,3.67,2.81,3.07,3.19,1.29,1.43,1.13
