종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
134380,미원화학,KOSPI,화학,64800,-200,-0.31,142512566400
003650,미창석유,KOSPI,화학,66800,0,0,116210089600
155900,바다로19호,KOSPI,서비스업,2895,15,0.52,44004011580
377740,바이오노트,KOSPI,의약품,4780,230,5.05,487445509440
003610,방림,KOSPI,섬유의복,3580,-1530,-29.94,151484442200
001340,백광산업,KOSPI,화학,7950,380,5.02,357101335650
035150,백산,KOSPI,화학,8580,350,4.25,197425800000
002410,범양건영,KOSPI,건설업,3215,115,3.71,79834822130
007210,벽산,KOSPI,비금속광물,2300,-20,-0.86,157688000000
002760,보락,KOSPI,화학,1653,-15,-0.9,99014700000
003850,보령,KOSPI,의약품,8220,10,0.12,564631800000
000890,보해양조,KOSPI,음식료품,604,-1,-0.17,84028557916
003000,부광약품,KOSPI,의약품,7180,10,0.14,510232691820
001270,부국증권,KOSPI,증권,21350,50,0.23,221397066100
001275,부국증권우,KOSPI,증권,19060,30,0.16,57180000000
026940,부국철강,KOSPI,철강금속,3625,65,1.83,72500000000
011390,부산산업,KOSPI,비금속광물,77400,-1300,-1.65,81734400000
005030,부산주공,KOSPI,운수장비,486,0,0,38288532168
002070,비비안,KOSPI,섬유의복,1670,183,12.31,49755963300
100220,비상교육,KOSPI,서비스업,5500,90,1.66,71482075500
090460,비에이치,KOSPI,전기전자,27600,600,2.22,951216860400
030790,비케이탑스,KOSPI,서비스업,904,0,0,19208323080
005180,빙그레,KOSPI,음식료품,47150,-400,-0.84,464486013150
003960,사조대림,KOSPI,음식료품,26000,-50,-0.19,238276142000
008040,사조동아원,KOSPI,음식료품,1073,8,0.75,151448155800
007160,사조산업,KOSPI,"농업, 임업 및 어업",40150,-100,-0.25,200750000000
014710,사조씨푸드,KOSPI,음식료품,5000,30,0.6,86092715000
006090,사조오양,KOSPI,음식료품,8370,160,1.95,78868325430
001470,삼부토건,KOSPI,건설업,3460,370,11.97,683949877500
448730,삼성FN리츠,KOSPI,서비스업,5110,10,0.2,395003000000
006400,삼성SDI,KOSPI,전기전자,717000,48000,7.17,49304168010000
006405,삼성SDI우,KOSPI,전기전자,336000,15000,4.67,543613056000
006660,삼성공조,KOSPI,운수장비,11340,10,0.09,92152400760
028260,삼성물산,KOSPI,유통업,105700,0,0,19617039519000
02826K,삼성물산우B,KOSPI,유통업,95300,-900,-0.94,155093602500
207940,삼성바이오로직스,KOSPI,의약품,743000,-1000,-0.13,52882282000000
032830,삼성생명,KOSPI,보험,68000,700,1.04,13600000000000
018260,삼성에스디에스,KOSPI,서비스업,122400,-500,-0.41,9471042720000
028050,삼성엔지니어링,KOSPI,서비스업,29500,1200,4.24,5782000000000
009150,삼성전기,KOSPI,전기전자,145200,700,0.48,10845524659200
009155,삼성전기우,KOSPI,전기전자,68700,500,0.73,199709800800
005930,삼성전자,KOSPI,전기전자,73000,800,1.11,435794126150000
005935,삼성전자우,KOSPI,전기전자,60000,500,0.84,49373202000000
001360,삼성제약,KOSPI,의약품,3140,25,0.8,210888928060
010140,삼성중공업,KOSPI,운수장비,6810,140,2.1,5992800000000
010145,삼성중공우,KOSPI,운수장비,98600,0,0,11323717000
016360,삼성증권,KOSPI,증권,36200,200,0.56,3232660000000
068290,삼성출판사,KOSPI,서비스업,21000,0,0,210000000000
029780,삼성카드,KOSPI,기타금융,29650,0,0,3435216118150
000810,삼성화재,KOSPI,보험,231500,1500,0.65,10967274765500
000815,삼성화재우,KOSPI,보험,171500,100,0.06,547428000000
006110,삼아알미늄,KOSPI,철강금속,100800,6100,6.44,1482961132800
145990,삼양사,KOSPI,음식료품,43200,1000,2.37,445540996800
145995,삼양사우,KOSPI,음식료품,26500,0,0,9806855000
003230,삼양식품,KOSPI,음식료품,116000,9000,8.41,873829740000
002170,삼양통상,KOSPI,기타제조업,50500,-100,-0.2,151500000000
272550,삼양패키징,KOSPI,화학,17320,470,2.79,273459781720
000070,삼양홀딩스,KOSPI,기타금융,73000,400,0.55,625191783000
000075,삼양홀딩스우,KOSPI,기타금융,55000,400,0.73,16723190000
003720,삼영,KOSPI,화학,4435,155,3.62,150790000000
002810,삼영무역,KOSPI,유통업,13270,-20,-0.15,245056399960
005680,삼영전자,KOSPI,전기전자,9730,120,1.25,194600000000
023000,삼원강재,KOSPI,운수장비,3300,15,0.46,132000000000
004380,삼익THK,KOSPI,기계,12940,170,1.33,271740000000
