id,회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
614,동국홀딩스,1230,"1차 철강 제조업","후판,철근,강판,형강,앵글,찬넬,평철 제조,판매",1988-05-09,12월,장세욱,http://www.dongkuk.co.kr,서울특별시
615,대원전선,6340,"절연선 및 케이블 제조업","전선,통신케이블,무선통신장비,합성수지 제조,도매/부동산 매매,임대",1988-05-04,12월,서명환,http://www.daewoncable.co.kr,충청남도
616,이수화학,5950,"기초 화학물질 제조업","등유,알킬벤젠,윤활유,노말파라핀 제조,도매",1988-04-28,12월,"김동민, 주봉진",http://www.isuchemical.co.kr,서울특별시
617,삼성증권,16360,"금융 지원 서비스업","유가증권의 매매,위탁매매,인수주선",1988-03-28,12월,장석훈,http://www.samsungpop.com,서울특별시
618,삼영무역,2810,"기타 전문 도매업","화공약품, 안경렌즈",1988-03-28,12월,이승용,http://www.samyung.co.kr,서울특별시
619,한양증권,1750,"금융 지원 서비스업",증권업,1988-03-04,12월,임재택,http://www.hygood.co.kr,서울특별시
620,금호석유화학,11780,"기초 화학물질 제조업","합성고무 SBR(스티렌부타디엔러버),BR(폴리부타디엔러버),합성수지,BD,라텍스 제조,도소매",1988-01-22,12월,백종훈,http://www.kkpc.com,서울특별시
621,유안타증권,3470,"금융 지원 서비스업","유가증권 매매,중개,대리,인수",1988-01-21,12월,궈밍쩡,http://www.yuantakorea.com,서울특별시
622,제일파마홀딩스,2620,"회사 본부 및 경영 컨설팅 서비스업","의약품(타리비드,제일파프,노엘,푸라솔) 제조,도매",1988-01-20,12월,한상철,http://www.jeilpharm.co.kr,서울특별시
623,에이엔피,15260,"전자부품 제조업","전자부품(인쇄회로기판),무정전 전원공급장치 제조",1988-01-18,12월,전운관,http://anpcb.co.kr,인천광역시
624,한창제지,9460,"펄프, 종이 및 판지 제조업","마닐라판지,고급백판지(ALL PULP) 제조,판매,수출입",1987-12-23,12월,김길수,http://www.hcpaper.co.kr,경상남도
625,넥센,5720,"고무제품 제조업","자동차용 재생타이어튜브,솔리드타이어,고무부품,골프볼,와이어로프소재,특수강선,열처리도금선,건자재 제조,판매,수출입",1987-12-19,12월,"강병중, 강호찬, 배중열",http://www.nexencorp.co.kr,경상남도
626,삼성공조,6660,"자동차 신품 부품 제조업","자동차부품(라디에터,오일쿨러) 제조,판매",1987-11-28,12월,고호곤,http://www.samsungcc.co.kr,경상남도
627,세방전지,4490,"일차전지 및 축전지 제조업","자동차용 및 산업용 축전지(연축전지) 제조,판매",1987-11-28,12월,"대표이사 김대웅",http://www.gbattery.com,서울특별시
628,진원생명과학,11000,"의약품 제조업",플라스미드,1987-11-16,12월,박영근,http://www.genels.com,서울특별시
629,참엔지니어링,9310,"특수 목적용 기계 제조업","FPD Laser Repair 장비 등 (FPD 장비의 개발과 제조 및 판매)",1987-11-12,12월,변인재,http://www.charmeng.com,경기도
630,한국무브넥스,10100,"자동차 신품 부품 제조업","자동차부품(제동,구동장치),프랜지(관이음쇠),철구조물,산업기계 제조",1987-10-02,12월,이현덕,http://www.koreamovenex.com,울산광역시
631,코스모신소재,5070,"기타 화학제품 제조업","이차전지양극활물질,기능성필름",1987-09-28,12월,홍동환,http://www.cosmoamt.com,충청북도
632,덕성,4830,"플라스틱제품 제조업","플라스틱레쟈,합성수지,합성피혁 제조,도매",1987-09-25,12월,"이봉근, 김성진 (각자대표이사)",http://www.duksung21.com,경기도
633,신영증권,1720,"금융 지원 서비스업",증권업,1987-08-24,03월,"원종석, 황성엽",http://www.shinyoung.com,서울특별시
634,유진증권,1200,"금융 지원 서비스업","유가증권 매매,중개,인수",1987-08-24,12월,"유창수, 고경모(각자 대표)",http://www.eugenefn.com,서울특별시
635,유화증권,3460,"금융 지원 서비스업",증권업,1987-08-24,12월,"윤경립, 고승일(각자 대표이사)",http://www.yhs.co.kr,서울특별시
636,한신기계공업,11700,"일반 목적용 기계 제조업","공기압축기,공구류 제조,판매/오파",1987-07-24,12월,최영민,http://www.hanshin.co.kr,경기도
637,코스모화학,5420,"기타 화학제품 제조업","이산화티타늄 및 부산물, 황산코발트 및 부산물",1987-07-23,12월,안성덕,http://www.cosmochem.co.kr,서울특별시
638,가온전선,500,"절연선 및 케이블 제조업","전력선,통신케이블 제조,도매,수출입",1987-06-08,12월,"정 현",http://www.gaoncable.com,경기도
639,S-Oil,10950,"석유 정제품 제조업","석유제품,가스,윤활기유,윤활유,그리스,석유화학제품 제조,도매",1987-05-27,12월,"Anwar A. Al-Hejazi (안와르 에이 알-히즈아지)",http://www.s-oil.com,서울특별시
640,한화에어로스페이스,12450,"항공기,우주선 및 부품 제조업","항공기엔진,특수방산장비 제조/정비사업",1987-05-27,12월,"손재일, 김동관",http://www.hanwhaaerospace.co.kr/,경상남도
641,삼화전자공업,11230,"영상 및 음향기기 제조업","전자부품(페라이트 코어,SMPS,편향요크(DY),고압변성기(FBT)용코어) 제조,판매",1987-05-25,12월,"오영주, 이건화",http://www.samwha.co.kr,경기도
642,현대제철,4020,"1차 철강 제조업","H형강,제철,제강,철근,압연,스테인레스,주강,시트파일 제조,수출입,중기부품(탱크바퀴)제조,판매",1987-05-23,12월,안동일,http://www.hyundai-steel.com,인천광역시
643,써니전자,4770,"전자부품 제조업","수정진동자,수정발진기,초음파지연선,MCF,축수나사 제조,도매,수출입",1987-04-22,12월,차상권,http://www.sunny.co.kr,충청북도
644,현대비앤지스틸,4560,"1차 철강 제조업","스텐레스냉연강판,특수강 제조",1987-03-24,12월,"대표이사 사장 정일선,대표이사 부사장 이선우(각자 대표이사)",http://www.hyundai-bngsteel.com,경상남도
645,사조오양,6090,"수산물 가공 및 저장 처리업","원양어업/수산물가공(게맛살) 제조,수출입/냉동 및 냉장보관/부동산 임대",1986-12-24,12월,김상훈,http://www.sajooy.com,서울특별시
646,한화투자증권,3530,"금융 지원 서비스업","유가증권 위탁매매,자기매매,인수주선",1986-11-25,12월,한두희,http://www.koreastock.co.kr,서울특별시
647,삼화전기,9470,"전자부품 제조업","콘덴서 제조,판매",1986-11-24,12월,"오영주, 박종온",http://www.samwha.co.kr,충청북도
648,SK증권,1510,"금융 지원 서비스업","증권업,부동산 임대",1986-09-20,12월,"김신, 전우종",http://www.sks.co.kr,서울특별시
649,평화홀딩스,10770,"자동차 신품 부품 제조업",지주회사,1986-03-31,12월,"황순용, 김주영",http://www.phhc.co.kr,대구광역시
