id,stock_code,jobp_rating,jobp_paywellfare,jobp_worklifebal,jobp_culture,jobp_opportunity,jobp_manager,jobp_recommend,jobp_ceo,jobp_potential,jobp_cnt,blind_rating,blind_cnt,blind_opportunity,blind_worklifebal,blind_paywellfare,blind_culture,blind_manager,corp
87,000660,3.5,4.1,3.1,3.3,3.3,3,0.68,0.65,0.48,2005,2.8,4670,2.6,2.7,3,2.6,2.2,SK하이닉스
88,064960,2.6,2.7,2.9,2.7,2.6,2.1,0.34,0.34,0.23,143,3,64,3.1,3.4,2.6,2.5,2.2,SNT모티브
89,005610,2.5,2.7,2.3,2.3,2.5,2.1,0.24,0.3,0.2,378,2.6,255,2.6,2.6,2.5,2.1,1.8,SPC삼립
90,011810,2.7,2.3,2.9,2.9,3,2,0.16,0.31,0.08,398,2.7,54,2.9,3.6,2.9,2.5,1.9,STX
91,077970,3.3,2.9,3.8,3.4,3.2,2.4,0.54,0.44,0.19,179,3.1,134,2.8,4.1,2.7,3,2.1,STX엔진
92,071970,2.7,2.3,3.3,3.2,2.9,1.9,0.16,0.23,0.08,349,2.5,87,2.9,3.7,1.9,2.6,1.4,STX중공업
93,002820,2,2.1,2.4,2,1.9,1.7,0.19,0.22,0.04,232,2.3,28,2.3,3.4,2.1,2,1.9,SUN&L
94,002710,2.5,2.6,3.9,2.1,2.9,2.3,0.27,0.45,0.18,11,2.3,29,2,3.4,2.3,2.3,1.8,TCC스틸
95,002900,3,3.2,3.3,2.7,2.5,2.4,0.47,0.45,0.08,205,2.4,100,2.4,2.7,2.7,1.9,1.7,TYM
96,000500,3.2,2.9,3.4,2.9,2.7,2.7,0.5,0.55,0.17,101,3.3,82,3,3.8,2.9,3,2.5,가온전선
97,000860,2.9,2.6,3.2,2.6,2.9,2.3,0.36,0.31,0.09,233,2.6,120,2.3,3.2,2.5,2,1.7,강남제비스코
98,035250,3.6,4,3.4,2.7,2.9,2.7,0.67,0.45,0.21,276,3.6,243,2.8,3.9,3.8,2.6,2.3,강원랜드
99,002100,2.8,2.8,2.7,2.4,2.7,2.5,0.36,0.49,0.12,176,2.9,99,3,2.7,2.6,2.3,2.2,경농
100,009450,2.5,2.8,2.1,2.3,2.5,2.2,0.29,0.45,0.34,584,2.9,595,2.9,2.6,3,2.5,2.4,경동나비엔
101,267290,4.4,4.2,4.4,4.1,3.6,3.7,1,0.67,0.4,20,4.5,28,3.5,4.9,4.5,4,3.8,경동도시가스
102,012320,4.5,4.5,4.5,4,4.5,4,1,1,0.5,2,4,2,3.5,4.5,4,3.5,3.5,경동인베스트
103,000050,2.2,1.9,2.5,2.4,2.3,1.9,0.23,0.33,0.22,81,2.4,38,2.6,3.1,1.9,2.2,1.9,경방
104,012610,2.7,2.6,2.8,2.6,2.7,2.5,0.31,0.49,0.19,224,2.6,130,2.4,3.1,2.3,2.3,2.2,경인양행
105,013580,2.7,2.7,2.2,2.4,2.8,2.5,0.33,0.45,0.2,257,2.8,270,3.3,2.4,2.4,2.3,2.1,계룡건설
106,012200,2.6,3.5,2.2,2,2.5,2,0.28,0.26,0.14,279,2.5,133,2.2,2.3,3.5,1.9,1.7,계양전기
107,010130,3.2,3.3,3,2.6,3.1,2.7,0.52,0.57,0.48,230,3.2,307,3.2,3.1,3,2.5,2.7,고려아연
108,002240,2.4,2.2,2.6,2.4,2.5,1.9,0.22,0.25,0.07,181,2.5,41,2.2,2.8,2.3,2,1.8,고려제강
109,009290,3.1,3.6,3.3,2.6,2.8,2.6,0.52,0.65,0.18,410,3.4,217,2.9,3.8,3.6,2.9,2.7,광동제약
110,017040,2.5,2.1,2.8,2.4,3,2,0.35,0.26,0.09,57,2.1,7,2.7,2.4,2,1.7,1.7,광명전기
111,017900,2.4,1.9,2.9,2.4,2,1.8,0.14,0.2,0.04,242,2.3,45,2.5,3.8,1.6,2.4,1.6,광전자
112,339770,2.9,3.4,3.1,2.5,2.5,2.1,0.4,0.38,0.25,182,3.1,138,2.7,3.6,3.3,2.4,1.9,교촌에프앤비
113,007690,2.4,2.7,2.5,2.1,2.5,1.9,0.21,0.23,0.17,434,2.6,309,2.5,2.9,2.9,2.2,1.8,국도화학
114,005320,4.1,4.2,4.2,3.6,3.7,3.3,0.85,0.62,0.23,319,2.2,35,2.2,2.9,2.4,2,1.7,국동
115,001140,2.2,2.6,1.4,1.7,2.6,1.9,0.16,0.29,0.26,433,0,0,0,0,0,0,0,국보
116,002720,2.8,3.1,3.2,2.3,2.6,2.2,0.35,0.37,0.13,136,3.1,76,2.7,3.6,3.1,2.6,2.2,국제약품
117,014530,3.5,3.6,3.9,3,3,3,0.77,0.77,0.18,22,3.8,16,3,4.1,3.9,2.8,3.1,극동유화
118,014280,2.7,2.7,2.6,2.5,2.8,2.3,0.26,0.33,0.1,124,2.8,69,2.5,3.4,2.4,2.5,2.1,금강공업
119,001570,2.6,2.6,2.2,2.2,2.6,2.3,0.27,0.41,0.16,104,3.4,11,3.8,3.4,4,2.5,2.5,금양
120,002990,2.9,2.6,2.6,2.9,2.7,2.3,0.38,0.35,0.18,222,3.2,225,3.3,3,2.7,3.1,2.3,금호건설
121,011780,3.5,3.4,3.9,3.1,3.2,3,0.66,0.66,0.24,202,3.7,279,3.4,3.9,3.8,3.1,2.8,금호석유
122,214330,2.4,2.1,2.1,2.3,2.4,1.9,0.16,0.18,0.1,205,2.7,47,2.6,2.7,2.1,2.6,2,금호에이치티
123,001210,2.4,1.9,3.1,2.5,2,1.9,0.18,0.3,0.05,130,2.8,16,2.4,3.3,2.1,2.5,2.3,금호전기
124,073240,2.8,2.5,3.2,2.7,2.8,2,0.3,0.27,0.12,674,2.6,480,2.5,3.4,2,2.4,1.7,금호타이어
125,004540,2.2,2.4,2.5,2.4,2.1,1.8,0.17,0.24,0.08,294,2.6,141,2.4,3,2.6,2.4,2.1,깨끗한나라
126,001260,2.6,2.3,2.8,2.6,2.4,2.1,0.2,0.19,0.15,55,2,61,2.4,2,1.5,1.7,1.5,남광토건
127,008350,2.7,2.7,3.3,2.9,2.9,2.2,0.25,0.33,0.07,61,3,52,2.5,3.8,2.6,2.6,2.1,남선알미늄
128,004270,2.3,2.2,2.2,2.2,2,1.8,0.15,0.16,0.11,112,0,0,0,0,0,0,0,남성
129,003920,2.5,3,2.3,2.3,2.5,1.8,0.23,0.2,0.11,605,2.5,172,2.7,2.7,2.7,2.2,1.4,남양유업
130,025860,3.9,3.8,4,3.4,3.6,3,0.67,0.55,0.17,54,3.5,105,2.9,3.7,3.5,3.1,2.3,남해화학
131,005720,2.7,2.9,2.8,2.3,2.6,2.2,0.33,0.38,0.25,462,2.6,65,2.6,2.8,2.8,2.4,2,넥센
132,002350,2.7,2.9,2.8,2.3,2.6,2.2,0.33,0.38,0.25,462,2.7,359,2.4,3.3,2.5,2.3,1.9,넥센타이어
133,251270,3.2,3.1,2.8,3.3,2.9,2.7,0.59,0.52,0.38,1505,3.3,514,3.4,3.4,3.1,2.9,2.5,넷마블
134,090350,2.9,3.3,2.6,2.3,2.6,2.1,0.37,0.3,0.06,281,2.6,221,2.4,2.4,3.2,2,1.6,노루페인트
135,000320,1.9,2.6,2.4,1.7,1.9,1.5,0.13,0.14,0.07,15,0,0,0,0,0,0,0,노루홀딩스
136,006280,3.1,2.6,3.4,2.9,2.9,2.6,0.52,0.51,0.26,836,3,909,2.9,3.6,2.4,2.7,2.3,녹십자
137,005250,3.3,2.8,3.7,2.7,3.1,3.3,0.55,0.75,0.34,74,3.3,27,3,3.6,3.1,3.1,2.9,녹십자홀딩스
138,004370,2.9,2.8,2.9,2.5,2.6,2.4,0.41,0.4,0.14,579,3.2,401,2.9,3.5,2.6,2.6,2.3,농심
139,058730,3.3,3.3,3.5,3.4,2.8,2.7,0.58,0.51,0.22,348,2.2,30,2,2.6,2.1,1.9,1.7,다스코
140,023590,3.4,3.3,3.4,3.2,3.2,2.8,0.63,0.53,0.3,536,3.5,335,3.2,3.6,3.5,3.1,2.5,다우기술
141,145210,1.9,2.4,1.6,1.8,2.1,1.6,0.07,0.13,0.04,147,2.5,14,2.3,2.8,2.4,2,1.7,다이나믹디자인
142,019680,2.5,2.4,2.4,2.4,2.3,2.1,0.22,0.34,0.06,865,2.6,337,2.3,3.2,2.3,2.5,2.1,대교
143,006370,2.5,2.2,2.3,2.3,2.4,1.8,0.17,0.21,0.02,190,2.2,16,2.1,2,1.9,2.1,1.6,대구백화점
144,353200,2.9,3.3,2.6,2.5,2.2,2.4,0.39,0.48,0.24,588,3.2,383,3.1,3.1,3.1,2.8,2.5,대덕전자
145,000490,2,2.2,2,2,2.4,1.6,0.13,0.16,0.11,638,0,0,0,0,0,0,0,대동
146,006570,2.4,2.2,3.2,2.2,2.1,1.8,0.19,0.19,0.06,70,3.8,15,2.7,4.3,3.1,2.8,2.3,대림통상
147,001680,3.3,3.1,3.4,3.2,3.2,2.7,0.58,0.53,0.21,702,3.5,734,3.3,3.6,3.1,3.1,2.8,대상
148,128820,2.5,2.3,2.9,2.6,2.2,1.9,0.22,0.2,0.04,371,2.5,150,2.3,3,2.2,2.2,1.8,대성산업
149,117580,3.2,3,4,2.5,2.6,2.4,0.52,0.35,0.07,27,3.4,48,2.4,4.4,3.2,2.5,2.3,대성에너지
150,009190,2.2,2.1,2.2,2.1,2,1.8,0.21,0.27,0.06,33,2.8,4,2.8,3,2.8,2,2.8,대양금속
151,047040,3.5,3.4,3.3,3.6,3,2.6,0.6,0.43,0.21,757,3.3,863,3.5,3.5,2.9,3.5,2.2,대우건설
152,003090,2.6,2.9,2.4,2.6,2.7,2.1,0.3,0.31,0.23,1334,2,2,2.5,3,2.5,1.5,1,대웅
153,069620,2.6,2.9,2.4,2.6,2.7,2.1,0.3,0.31,0.23,1334,2.6,1100,3.1,2.4,2.5,2.4,1.9,대웅제약
154,000430,3,3.8,2.5,2.3,3,2.4,0.43,0.43,0.25,189,2.7,80,2.5,2.7,3.6,2.1,1.9,대원강업
155,006340,2.5,2.3,2.9,2.2,2.4,2.1,0.25,0.29,0.11,55,3.3,7,2.1,4.7,2.9,2.6,2,대원전선
156,003220,3,3.8,2.9,2.5,3,3,0.44,0.67,0.37,462,2.8,362,2.5,2.9,3.4,2.3,2.6,대원제약
157,024890,2.6,1.7,3.4,2.8,2.2,2.1,0.16,0.31,0.06,31,2.8,6,2.5,3.8,1.7,2.7,2.2,대원화성
